Country Name,Country Code,2022
Aruba,ABW,
Africa Eastern and Southern,AFE,
Afghanistan,AFG,
Africa Western and Central,AFW,
Angola,AGO,228.8709708
Albania,ALB,49.21327605
Andorra,AND,
Arab World,ARB,
United Arab Emirates,ARE,2.659121195
Argentina,ARG,
Armenia,ARM,165.196783
American Samoa,ASM,
Antigua and Barbuda,ATG,2.132813881
Australia,AUS,1.450002
Austria,AUT,0.733283
Azerbaijan,AZE,0.5089027104
Burundi,BDI,723.1368337
Belgium,BEL,0.791935
Benin,BEN,205.5219388
Burkina Faso,BFA,203.7109702
Bangladesh,BGD,29.13214845
Bulgaria,BGR,0.7642807977
Bahrain,BHR,0.2002393719
"Bahamas, The",BHS,1.146468535
Bosnia and Herzegovina,BIH,0.766161735
Belarus,BLR,0.7889377869
Belize,BLZ,1.09869613
Bermuda,BMU,
Bolivia,BOL,2.30603239
Brazil,BRA,2.478836756
Barbados,BRB,
Brunei Darussalam,BRN,0.5821159213
Bhutan,BTN,20.8936729
Botswana,BWA,5.271330053
Central African Republic,CAF,270.1358776
Canada,CAN,1.223979
Central Europe and the Baltics,CEB,
Switzerland,CHE,1.171292
Channel Islands,CHI,
Chile,CHL,494.042985
China,CHN,3.788812948
Cote d'Ivoire,CIV,232.5177964
Cameroon,CMR,198.2184859
"Congo, Dem. Rep.",COD,
"Congo, Rep.",COG,231.2063188
Colombia,COL,1570.138912
Comoros,COM,
Cabo Verde,CPV,54.36826503
Costa Rica,CRI,375.657788
Caribbean small states,CSS,
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,0.6296670336
Czechia,CZE,14.862593
Germany,DEU,0.731005
Djibouti,DJI,94.39717425
Dominica,DMA,1.622974916
Denmark,DNK,7.392324
Dominican Republic,DOM,23.30897064
Algeria,DZA,39.82619505
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe & Central Asia (excluding high income),ECA,
Europe & Central Asia,ECS,
Ecuador,ECU,0.4649243518
"Egypt, Arab Rep.",EGY,4.338943573
Euro area,EMU,
Eritrea,ERI,
Spain,ESP,0.631188
Estonia,EST,0.669156
Ethiopia,ETH,16.65740429
European Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,0.84955
Fiji,FJI,0.914402799
France,FRA,0.757801
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,0.9266760768
Gabon,GAB,289.7505182
United Kingdom,GBR,0.700129
Georgia,GEO,1.112194534
Ghana,GHA,2.982585602
Gibraltar,GIB,
Guinea,GIN,3295.534466
"Gambia, The",GMB,15.92546806
Guinea-Bissau,GNB,220.792248
Equatorial Guinea,GNQ,279.1238865
Greece,GRC,0.589066
Grenada,GRD,1.757944144
Greenland,GRL,
Guatemala,GTM,3.407371225
Guam,GUM,
Guyana,GUY,97.72128663
High income,HIC,
"Hong Kong SAR, China",HKG,6.026259601
Honduras,HND,11.90069941
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,0.4891866328
Haiti,HTI,65.78841806
Hungary,HUN,177.566437
IBRD only,IBD,
IDA & IBRD total,IBT,
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,5165.528795
IDA only,IDX,
Isle of Man,IMN,
India,IND,19.23392906
Not classified,INX,
Ireland,IRL,0.932113
"Iran, Islamic Rep.",IRN,63798.95443
Iraq,IRQ,559.5616839
Iceland,ISL,154.612202
Israel,ISR,3.704053
Italy,ITA,0.672825
Jamaica,JAM,92.64366219
Jordan,JOR,0.3320876448
Japan,JPN,103.06419
Kazakhstan,KAZ,151.6209579
Kenya,KEN,42.29324718
Kyrgyz Republic,KGZ,25.64899186
Cambodia,KHM,1538.577251
Kiribati,KIR,0.894544858
St. Kitts and Nevis,KNA,2.15770723
"Korea, Rep.",KOR,933.120991
Kuwait,KWT,0.1847213421
Latin America & Caribbean (excluding high income),LAC,
Lao PDR,LAO,3711.648359
Lebanon,LBN,12033.78921
Liberia,LBR,0.4550708373
Libya,LBY,1.853160799
St. Lucia,LCA,1.618696641
Latin America & Caribbean,LCN,
Least developed countries: UN classification,LDC,
Low income,LIC,
Liechtenstein,LIE,
Sri Lanka,LKA,80.8141788
Lower middle income,LMC,
Low & middle income,LMY,
Lesotho,LSO,5.831721193
Late-demographic dividend,LTE,
Lithuania,LTU,0.532197
Luxembourg,LUX,0.92425
Latvia,LVA,0.543423
"Macao SAR, China",MAC,5.365567003
St. Martin (French part),MAF,
Morocco,MAR,4.040061795
Monaco,MCO,
Moldova,MDA,7.548584716
Madagascar,MDG,1133.364595
Maldives,MDV,9.710673669
Middle East & North Africa,MEA,
Mexico,MEX,10.802039
Marshall Islands,MHL,
Middle income,MIC,
North Macedonia,MKD,21.62275678
Mali,MLI,195.7519951
Malta,MLT,0.6221547452
Myanmar,MMR,
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,0.4146287036
Mongolia,MNG,1021.207202
Northern Mariana Islands,MNP,
Mozambique,MOZ,24.12116892
Mauritania,MRT,12.286792
Mauritius,MUS,19.24753717
Malawi,MWI,315.9216059
Malaysia,MYS,1.488366129
North America,NAC,
Namibia,NAM,7.110236159
New Caledonia,NCL,
Niger,NER,203.2917296
Nigeria,NGA,171.3594924
Nicaragua,NIC,12.86958053
Netherlands,NLD,0.773541
Norway,NOR,9.66256
Nepal,NPL,33.72294293
Nauru,NRU,
New Zealand,NZL,1.475008
OECD members,OED,
Oman,OMN,0.1952504753
Other small states,OSS,
Pakistan,PAK,47.20207424
Panama,PAN,0.5360671729
Peru,PER,1.923949544
Philippines,PHL,20.32716567
Palau,PLW,0.9232619229
Papua New Guinea,PNG,2.829089169
Poland,POL,1.94755
Pre-demographic dividend,PRE,
Puerto Rico,PRI,
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,0.588529
Paraguay,PRY,2799.46549
West Bank and Gaza,PSE,0.5739186999
Pacific island small states,PSS,
Post-demographic dividend,PST,
French Polynesia,PYF,
Qatar,QAT,2.830859983
Romania,ROU,1.991831743
Russian Federation,RUS,
Rwanda,RWA,317.7501076
South Asia,SAS,
Saudi Arabia,SAU,1.939037
Sudan,SDN,224.2834994
Senegal,SEN,230.1301177
Singapore,SGP,1.040462429
Solomon Islands,SLB,7.37317898
Sierra Leone,SLE,3.73456413
El Salvador,SLV,0.4905732987
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,49.84861488
Sub-Saharan Africa (excluding high income),SSA,
South Sudan,SSD,
Sub-Saharan Africa,SSF,
Small states,SST,
Sao Tome and Principe,STP,10.50813583
Suriname,SUR,8.941880529
Slovak Republic,SVK,0.574495
Slovenia,SVN,0.595777
Sweden,SWE,8.793679
Eswatini,SWZ,
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,9.342332123
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,211.4306456
East Asia & Pacific (IDA & IBRD countries),TEA,
Europe & Central Asia (IDA & IBRD countries),TEC,
Togo,TGO,220.5957058
Thailand,THA,11.50332668
Tajikistan,TJK,
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,
Timor-Leste,TLS,0.441431301
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,1.78303245
South Asia (IDA & IBRD),TSA,
Sub-Saharan Africa (IDA & IBRD countries),TSS,
Trinidad and Tobago,TTO,3.980167953
Tunisia,TUN,0.8755810965
Turkiye,TUR,4.862804
Tuvalu,TUV,
Tanzania,TZA,658.7914952
Uganda,UGA,1305.439849
Ukraine,UKR,9.639705761
Upper middle income,UMC,
Uruguay,URY,28.29113083
United States,USA,1
Uzbekistan,UZB,2999.262595
St. Vincent and the Grenadines,VCT,1.690983577
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Viet Nam,VNM,7173.797297
Vanuatu,VUT,118.8767581
World,WLD,
Samoa,WSM,1.837858515
Kosovo,XKX,0.3923918444
"Yemen, Rep.",YEM,
South Africa,ZAF,7.457417252
Zambia,ZMB,6.360963248
Zimbabwe,ZWE,