"flagCode","country","TeacherSalary_PrimarySchoolTeacherStarting_USD_2022","TeacherSalary_PrimarySchoolTeacherTopOfScale_USD_2022","TeacherSalary_LowerSecondarySchoolTeacherStarting_USD_2022","TeacherSalary_LowerSecondarySchoolTeacherTopOfScale_USD_2022","TeacherSalary_UpperSecondarySchoolTeacherStarting_USD_2022","TeacherSalary_UpperSecondarySchoolTeacherTopOfScale_USD_2022"
"LU","Luxembourg",71647,126576,81200,141144,81200,141144
"DE","Germany",70419,91713,77905,101510,81141,110694
"DK","Denmark",53364,61473,53598,61968,50444,65555
"AT","Austria",49646,86526,49646,92041,49646,102120
"NL","Netherlands",48805,99715,48662,99717,48662,99717
"AU","Australia",47991,75486,47990,75603,47990,75603
"TR","Turkey",46333,50489,46822,50978,46822,50978
"US","United States",44992,78190,46018,79031,48187,75988
"ES","Spain",44650,63910,49905,71235,49905,71235
"NO","Norway",43108,55489,43108,55489,51096,62688
"CA","Canada",42157,72734,42157,72734,42157,72734
"FI","Finland",37407,48642,40182,52251,42191,56380
"IE","Ireland",36281,70244,36281,70840,36281,70840
"NZ","New Zealand",34890,56125,34890,56125,34890,56125
"FR","France",34611,58751,37720,62169,37720,62169
"PT","Portugal",34311,73978,34311,73978,34311,73978
"KR","South Korea",33615,94489,33675,94549,33675,94549
"LT","Lithuania",33027,43195,33027,43195,33027,43195
"IT","Italy",32981,48015,35447,52725,35447,55106
"SI","Slovenia",31187,57595,31187,57595,31187,57595
"JP","Japan",28611,58562,28611,58562,28611,60106
"CZ","Czech Republic",26189,34353,26270,34595,26270,34515
"EE","Estonia",26031,,26031,,26031,
"CL","Chile",25575,47335,25575,47335,26446,49077
"CR","Costa Rica",24604,37498,25355,38653,25355,38653
"IL","Israel",23561,54695,23673,57208,27876,56501
"RO","Romania",23300,39721,23300,39721,23300,39721
"MX","Mexico",21802,42694,27655,53919,51010,62681
"GR","Greece",20387,40213,20387,40213,20387,40213
"BR","Brazil",20261,,20261,,20261,
"PL","Poland",19235,32778,19235,32778,19235,32778
"LV","Latvia",17039,,17039,,17039,
"SK","Slovakia",16798,21636,16798,21636,16798,21636
"HU","Hungary",16137,27597,16137,27597,16137,30663